origin,average_user_rating,weight,title,manufactured,current_url,length,score,gauge,cigar_format,ring,presentation
Cuba,0.0,"14,26 gr.","
  El Rey del Mundo  Piramides",Hand Made,http://www.cigars-review.org/El-Rey-del-Mundo-Piramides.htm,156,,Thick,Piramide,52,
Cuba,4.5,,"
  El Rey del Mundo  Petit Compania",Hand Made,http://www.cigars-review.org/El-Rey-del-Mundo-Petit-Compania.htm,127,,Thick,Petit Piramides,50,
Cuba,4.0,"5,01 gr.","
  El Rey del Mundo  Panetelas Largas",Hand Made,http://www.cigars-review.org/El-Rey-del-Mundo-Panetelas-Largas.htm,175,,Thin,Panetela Larga,28,One layer in a box of 10
Cuba,5.0,"6,39 gr.","
  El Rey del Mundo  Isabel",Hand Made,http://www.cigars-review.org/El-Rey-del-Mundo-Isabel.htm,143,,Thin,Carlota,35,"Semi Plain Box without cellophane 25's.
Slide Lid Box: 25's, 50's."
Cuba,4.0,"8,46 gr.","
  El Rey del Mundo  Petit Coronas",Hand Made,http://www.cigars-review.org/El-Rey-del-Mundo-Petit-Coronas.htm,129,8.0,Medium,Mareva,42,2 Layers in a box of 25
Cuba,0.0,,"
  El Rey del Mundo  Epicures",Hand Made,http://www.cigars-review.org/El-Rey-del-Mundo-Epicures.htm,130,,Thin,,,
Cuba,3.5,"6,72 gr.","
  El Rey del Mundo  Lunch Club",Hand Made,http://www.cigars-review.org/El-Rey-del-Mundo-Lunch-Club.htm,116,6.9,Medium,Franciscano,40,2 Layers in a Box of 25
Cuba,0.0,"8,46 gr.","
  El Rey del Mundo  Dunhill Seleccion No. 98",Hand Made,http://www.cigars-review.org/El-Rey-del-Mundo-Dunhill-Seleccion-No-98.htm,129,,Medium,Mareva,42,Semi PLain Box: Boxes of 25.
Cuba,4.0,"10,8 gr.","
  El Rey del Mundo  Lonsdales",Hand Made,http://www.cigars-review.org/El-Rey-del-Mundo-Lonsdales.htm,165,8.0,Medium,Cervantes,42,2 Layers in a Box of 25
Cuba,4.5,"10,29 gr.","
  El Rey del Mundo  Grandes de Espana",Hand Made,http://www.cigars-review.org/El-Rey-del-Mundo-Grandes-de-Espana.htm,192,8.7,Thin,Delicados,38,2 Layers in a Box of 25
Cuba,4.5,"5,01 gr.","
  El Rey del Mundo  Elegantes",Hand Made,http://www.cigars-review.org/El-Rey-del-Mundo-Elegantes.htm,175,,Thin,Panetela Larga,28,2 Layers in a Box of 25
Cuba,3.5,"11,41 gr.","
  El Rey del Mundo  Gran Coronas",Hand Made,http://www.cigars-review.org/El-Rey-del-Mundo-Gran-Coronas.htm,143,7.4,Thick,Corona Gorda,46,2 Layers in a Box of 25
Cuba,4.0,"3,27 gr.","
  El Rey del Mundo  Demi Tasse",Hand Made,http://www.cigars-review.org/El-Rey-del-Mundo-Demi-Tasse.htm,100,8.5,Thin,Entreacto,30,2 Layers in a Box of 25
Cuba,4.5,"9,29 gr.","
  El Rey del Mundo  Coronas de Luxe",Hand Made,http://www.cigars-review.org/El-Rey-del-Mundo-Coronas-de-Luxe.htm,142,8.5,Medium,Corona,42,2 Layers in a Box of 25
Cuba,1.5,5 gr.,"
  Guantanamera  Decimos",Machine Made,http://www.cigars-review.org/Guantanamera-Decimos.htm,134,3.2,Thin,Universal,38, Semi Plain Box: (With cellophane) Boxes of 5 and boxes of 25.
Cuba,4.0,"10,86 gr.","
  El Rey del Mundo  Choix Supreme",Hand Made,http://www.cigars-review.org/El-Rey-del-Mundo-Choix-Supreme.htm,127,7.8,Thick,Hermoso No. 4,48,2 Layers in a Box of 25
